date,ticker,open,high,low,close,adj close
7/3/2017,AAPL,144.88,145.3001,143.1,143.5,142.920109
7/5/2017,AAPL,143.69,144.79,142.7237,144.09,143.5077248
7/6/2017,AAPL,143.02,143.5,142.41,142.73,142.1532207
7/7/2017,AAPL,142.9,144.75,142.9,144.18,143.5973611
7/10/2017,AAPL,144.11,145.95,143.37,145.06,144.473805
7/11/2017,AAPL,144.73,145.85,144.38,145.53,144.9419057
7/12/2017,AAPL,145.87,146.18,144.82,145.74,145.1510571
7/13/2017,AAPL,145.5,148.49,145.44,147.77,147.1728538
7/14/2017,AAPL,147.97,149.33,147.33,149.04,148.4377216
7/17/2017,AAPL,148.82,150.9,148.57,149.56,148.9556203
7/18/2017,AAPL,149.2,150.6,148.67,150.08,149.4735189
7/19/2017,AAPL,150.48,151.42,149.95,150,150.4097203
7/20/2017,AAPL,151.5,151.74,150.19,150.34,149.7324682
7/21/2017,AAPL,149.99,150.44,148.88,150.27,149.6627511
7/24/2017,AAPL,150.58,152.44,149.9,152.09,151.4753964
7/25/2017,AAPL,151.8,153.84,151.8,152.74,152.1227697
7/26/2017,AAPL,153.35,153.93,153,153.46,152.8398602
7/27/2017,AAPL,153.75,153.99,147.3,150.56,149.9515792
7/28/2017,AAPL,149.89,150.23,149.19,149.5,148.8958627
7/31/2017,AAPL,149.9,150.33,148.13,148.85,148.2484894
8/1/2017,AAPL,149.1,150.22,148.41,150.05,149.4436402
8/2/2017,AAPL,159.28,159.75,156.16,157.14,156.5049891
8/3/2017,AAPL,157.05,157.21,155.02,155.57,154.9413335
8/4/2017,AAPL,156.07,157.4,155.69,156.39,155.7580199
8/8/2017,AAPL,158.6,161.83,158.27,160.08,159.4331084
8/9/2017,AAPL,159.26,161.27,159.11,161.06,160.4091482
8/10/2017,AAPL,159.9,160,154.63,155.27,155.27
8/11/2017,AAPL,156.6,158.5728,156.07,157.48,157.48
8/14/2017,AAPL,159.32,160.21,158.75,159.85,159.85
8/15/2017,AAPL,160.66,162.195,160.14,161.6,161.6
8/16/2017,AAPL,161.94,162.51,160.15,160.95,160.95
8/17/2017,AAPL,160.52,160.71,157.84,157.87,157.87
8/18/2017,AAPL,157.86,159.5,156.72,157.5,157.5
8/21/2017,AAPL,157.5,157.89,155.1101,157.21,157.21
8/22/2017,AAPL,158.23,160,158.02,159.78,159.78
8/23/2017,AAPL,159.07,160.47,158.88,159.98,159.98
8/24/2017,AAPL,160.43,160.74,158.55,159.27,159.27
8/25/2017,AAPL,159.65,160.56,159.27,159.86,159.86
