date,FB,GOOG,IBM
7/3/2017,148.43,898.7,155.58
7/5/2017,911.94,153.67,147.61
7/6/2017,148.82,906.69,152.36
7/7/2017,151.44,918.59,152.94
7/10/2017,153.5,928.8,153.42
7/11/2017,155.27,930.09,153.19
7/12/2017,158.9,943.83,153.7
7/13/2017,159.26,947.16,153.63
7/14/2017,159.97,955.99,154.24
7/17/2017,159.73,953.42,153.01
7/18/2017,162.86,965.4,154
7/19/2017,164.14,970.89,147.53
7/20/2017,164.53,968.15,147.66
7/21/2017,164.43,972.92,147.08
7/24/2017,166,980.34,145.99
7/25/2017,165.28,950.7,146.19
7/26/2017,165.61,947.8,145.36
7/27/2017,170.44,934.09,145.07
7/28/2017,172.45,941.53,144.29
7/31/2017,169.25,930.5,144.67
8/1/2017,169.86,930.83,145.3
8/2/2017,169.25,930.39,144.45
8/3/2017,168.59,923.65,144.94
8/4/2017,169.62,927.96,145.16
8/7/2017,171.98,929.36,143.47
8/8/2017,171.23,926.79,142.11
8/9/2017,171.18,922.9,141.77
8/10/2017,167.4,907.24,141.84
8/11/2017,168.08,914.39,141.84
8/14/2017,170.75,922.67,142.32
8/15/2017,171,922.22,142.07
8/16/2017,170,926.96,142.5
8/17/2017,166.91,910.98,140.7
8/18/2017,167.41,910.67,139.7
8/21/2017,167.78,906.66,140.33
8/22/2017,169.64,924.69,141.01
8/23/2017,168.71,927,142.14
8/24/2017,167.74,921.28,142.94
8/25/2017,166.32,915.89,143.74
8/28/2017,167.24,913.81,142.51
8/29/2017,168.05,921.29,143.14
8/30/2017,169.92,929.57,142.56
8/31/2017,172,939.33,143.03
9/1/2017,172.02,937.34,144.08
9/5/2017,170.72,928.45,143.04
9/6/2017,172.09,927.81,143.82
9/7/2017,173.21,935.95,142.9
9/8/2017,170.95,926.5,142.45
9/11/2017,173.51,929.08,144.86
9/12/2017,172.96,932.07,145.76
9/13/2017,173.05,935.09,145.99
9/14/2017,170.96,925.11,145.54
9/15/2017,171.58,920.29,144.82
9/18/2017,170.01,915,144.55
9/19/2017,172.52,921.81,144.39
9/20/2017,172.17,931.58,145.88
9/21/2017,171.11,932.45,145.26
9/22/2017,170.54,928.53,145.13
9/25/2017,162.87,920.97,145.87
9/26/2017,164.21,924.86,146.56
9/27/2017,167.68,944.49,145.66
9/28/2017,168.73,949.5,145.66
9/29/2017,170.81,959.11,145.08
10/2/2017,169.47,953.27,146.66
10/3/2017,169.96,957.79,146.78
10/4/2017,168.42,951.68,146.48
10/5/2017,171.24,969.96,146.72
10/6/2017,172.23,978.89,146.48
10/9/2017,172.5,977,147.39
10/10/2017,171.59,972.6,148.5
10/11/2017,172.74,989.25,147.62
10/12/2017,172.55,987.83,147.03
10/13/2017,173.74,989.68,147.1
10/16/2017,174.52,992,146.83
10/17/2017,176.11,992.18,146.54
10/18/2017,176.03,992.81,159.53
10/19/2017,174.56,984.45,160.9
10/20/2017,174.98,988.2,162.07
10/23/2017,171.27,968.45,159.55
10/24/2017,171.8,970.54,155.88
10/25/2017,170.6,973.33,153.5
10/26/2017,170.63,972.56,153.6
10/27/2017,177.88,1019.27,153.68
10/30/2017,179.87,1017.11,154.36
10/31/2017,180.06,1016.64,154.06
11/1/2017,182.66,1025.5,154.03
11/2/2017,178.92,1025.58,153.35
11/3/2017,178.92,1032.48,151.58
11/6/2017,180.17,1025.9,150.84
11/7/2017,180.25,1033.33,151.35
11/9/2017,179.3,1031.26,150.3
11/10/2017,178.46,1028.07,149.16
11/13/2017,178.77,1025.75,148.4
11/14/2017,178.07,1026,148.89
11/15/2017,177.95,1020.91,147.1
11/16/2017,179.59,1032.5,149.12
11/17/2017,179,1019.09,148.97
11/20/2017,178.74,1018.38,150.51
11/21/2017,181.86,1034.49,151.95
11/22/2017,180.87,1035.96,151.77
11/24/2017,182.78,1040.61,151.84
11/27/2017,183.03,1054.21,151.98
11/28/2017,182.42,1047.41,152.47
11/29/2017,175.13,1021.66,153.55
11/30/2017,177.18,1021.41,153.97
12/1/2017,175.1,1010.17,154.76
12/4/2017,171.47,998.68,156.46
12/5/2017,172.83,1005.15,155.35
12/6/2017,176.06,1018.38,154.1
12/7/2017,180.14,1030.93,153.57
12/8/2017,179,1037.05,154.81
12/11/2017,179.04,1041.1,155.41
12/12/2017,176.96,1040.48,156.74
12/13/2017,178.3,1040.61,153.91
12/14/2017,178.39,1049.15,154
12/15/2017,180.18,1064.19,152.5
12/18/2017,180.82,1077.14,153.33
12/19/2017,179.51,1070.68,153.23
12/20/2017,177.89,1064.95,152.95
12/21/2017,177.45,1063.63,151.5
12/22/2017,177.2,1060.12,152.5
12/26/2017,175.99,1056.74,152.83
12/27/2017,177.62,1049.37,153.13
12/28/2017,177.92,1048.14,154.04
12/29/2017,176.46,1046.4,153.42
